Anatole	Anatole Stieffatre
Anatole:	Anatole Stieffatre
Cécile	Cécile
Cécile:	Cécile
Enishänsel	Désiré Enishänsel
Enishänsel:	Désiré Enishänsel
Karcher	Jules Karcher
Karcher:	Jules Karcher
Kommissionär:	É Kommissionär
Schanté	Barthélemy Schanté
Schanté:	Barthélemy Schanté
Sophie	Sophie
Sophie:	Sophie
Enishänsel, Sophie:	Désiré Enishänsel;Sophie
Enishänsel, Sophie	Désiré Enishänsel;Sophie
