BREY	Jean Brey
BREY:	Jean Brey
Mme LEWERMANN	Madame Lewermann
Mme LEWERMANN:	Madame Lewermann
Mme SCHWEBERLE	Madame Schweberle
Mme SCHWEBERLE:	Madame Schweberle
OSCAR	Oscar
OSCAR:	Oscar
SCHAKOB	Schakob
SCHAKOB:	Schakob
SUZANNE	Suzanne
SUZANNE:	Suzanne
